"id";"nummer";"name";"stadtbezirk";"hst_oepnv";"umsetzungsstand_detail";"umsetzungsstand_kurz";"stellplaetze_carsharing";"carsharing_e_fahrzeug";"stellplaetze_eladen";"schnelllader_gr_50kw";"lage_pr_parkplatz";"mobibike_rueckgabe";"anzahl_docks";"luftpumpe";"luftpumpe_detail";"url_dd";"url_dvb";"geom";"ds_modified"
320;"90";"Scharfenberger Straße";"Pieschen";"Overbeckstraße";"In Teilbetrieb (nur Bikesharing) seit 01.08.2024";"Teilbetrieb";0;"0";0;"0";;"ja";6;"nein";;;;"SRID=4326;POINT(13.68308407827459660666 51.07019379165807748677)";2024-10-02 12:46:23
321;"38b";"Universitätsklinikum - Schubertstraße";"Blasewitz";"Blasewitzer-/Fetscherstr.";"in Betrieb seit 13.11.2024";"Betrieb";4;"nein";0;"0";"nein";"ja";12;"nein";;"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.78567342015404939559 51.05669266565404029734)";2024-11-29 10:48:40
145;"0";"Betriebshof Trachenberge (Test-MOBIpunkt)";"Pieschen";"Btf. Trachenberge";"in Betrieb seit 2019";"Betrieb";2;"2";2;"0";"nein";"ja";6;"nein";"Test";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.72975503203488756299 51.08732459761169053536)";2025-09-03 15:15:52
22;"1";"Postplatz";"Altstadt";"Postplatz";"vorr. in Betrieb ab Mai 2022, MOBIbike und Luftpumpe ab 12.4.2022";"Betrieb";4;"2";4;"4";"nein";"ja";6;"nein";"direkt neben der Stele am MOBIpunkt";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.73125781990519200804 51.05033736255411724869)";2025-09-03 15:15:52
23;"2";"Hauptbahnhof";"Altstadt";"Hauptbahnhof";"vollständig in Betrieb seit 04/24, Carsharing in Tiefgarage Hauptbahnhof, CS SP nicht im Zuge MP errichtet";"Betrieb";2;"0";0;"0";"nein";"ja";31;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;MULTIPOINT(13.73356889507461175981 51.04001874129870941488,13.73374120984400725831 51.04052848451220825154,13.73051208120579502747 51.03946504846241083442)";2025-09-03 15:15:52
21;"3";"Pirnaischer Platz";"Altstadt";"Pirnaischer Platz";"in Betrieb seit 21.09.2018";"Betrieb";4;"2";8;"8";"nein";"ja";12;"nein";"auf der Insel neben der großen Infostele auf dem Parkplatz";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.74406694142338558606 51.04884642934519689561)";2025-09-03 15:15:52
19;"6";"Josephinenstraße";"Altstadt";"Josephinenstraße";"in Betrieb 15.2.2022";"Betrieb";2;"0";10;"0";"nein";"ja";4;"nein";"auf der gegenüberliegenden Straßenseite des MOBIpunkts an den Radbügeln in Haltestellennähe (stadtwärts)";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.72946356862872896443 51.04614495338496027443)";2025-09-03 15:15:52
28;"13";"Bahnhof Neustadt";"Neustadt";"Bf Neustadt";"In Betrieb seit November 2021";"Betrieb";2;"0";6;"6";"nein";"ja";8;"nein";"auf dem Bahnhofsvorplatz zwischen den Ständern MOBIbike hinter dem Haltestellenhaus der regionalbusabfahrten";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.74190922332369169112 51.06554569506520380173)";2025-09-03 15:15:52
29;"14";"Carolaplatz";"Neustadt";"Carolaplatz";"in Betrieb seit 16.12.2019";"Betrieb";3;"2";6;"6";"nein";"ja";5;"nein";"unter dem Dach der Haltestelle Richtung Altstadt links neben den Ständern von MOBIbike";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.74513223857285382223 51.05780360500361325649)";2025-09-03 15:15:52
53;"15";"Martin-Luther-Straße";"Neustadt";"Pulsnitzer Straße";"in Betrieb seit 5.2.2021";"Betrieb";4;"2";6;"0";"nein";"ja";6;"nein";"auf der östlichen Straßenseite auf der kleinen Pflasterinsel neben der E-Ladesäule für teilAuto";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.75521050452207916237 51.06327018698686970311)";2025-09-03 15:15:52
